"id","cve_id","source_identifier","published","last_modified","vuln_status","description","cvss_score_v3","cvss_vector_v3","cvss_score_v2","cvss_vector_v2","weaknesses","configurations","references","analyzed"
"506312","CVE-2024-21683","security@atlassian.com","2024-05-22 00:15:07.923+01","2024-06-10 19:15:25.363+01","Modified","This High severity RCE (Remote Code Execution) vulnerability was introduced in version 5.2 of Confluence Data Center and Server.

This RCE (Remote Code Execution) vulnerability, with a CVSS Score of 7.2, allows an authenticated attacker to execute arbitrary code which has high impact to confidentiality, high impact to integrity, high impact to availability, and requires no user interaction. 

Atlassian recommends that Confluence Data Center and Server customers upgrade to latest version. If you are unable to do so, upgrade your instance to one of the specified supported fixed versions. See the release notes https://confluence.atlassian.com/doc/confluence-release-notes-327.html

You can download the latest version of Confluence Data Center and Server from the download center https://www.atlassian.com/software/confluence/download-archives.

This vulnerability was found internally.","8.80","CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H","0.00","","[{""source"": ""nvd@nist.gov"", ""type"": ""Primary"", ""description"": [{""lang"": ""en"", ""value"": ""NVD-CWE-noinfo""}]}]","[{""nodes"": [{""operator"": ""OR"", ""negate"": false, ""cpeMatch"": [{""vulnerable"": true, ""criteria"": ""cpe:2.3:a:atlassian:confluence_data_center:*:*:*:*:lts:*:*:*"", ""versionStartIncluding"": ""7.19.0"", ""versionEndExcluding"": ""7.19.22"", ""matchCriteriaId"": ""B3441F45-4865-406E-B65D-00B3D3F62854""}, {""vulnerable"": true, ""criteria"": ""cpe:2.3:a:atlassian:confluence_data_center:*:*:*:*:*:*:*:*"", ""versionStartIncluding"": ""7.20.0"", ""versionEndIncluding"": ""7.20.3"", ""matchCriteriaId"": ""CA11366E-1323-4E23-BC48-98E5A278ACBC""}, {""vulnerable"": true, ""criteria"": ""cpe:2.3:a:atlassian:confluence_data_center:*:*:*:*:*:*:*:*"", ""versionStartIncluding"": ""8.0.0"", ""versionEndIncluding"": ""8.0.4"", ""matchCriteriaId"": ""3E04D444-3EB1-4738-B7E2-5B7AE2E5E362""}, {""vulnerable"": true, ""criteria"": ""cpe:2.3:a:atlassian:confluence_data_center:*:*:*:*:*:*:*:*"", ""versionStartIncluding"": ""8.1.0"", ""versionEndIncluding"": ""8.1.4"", ""matchCriteriaId"": ""1F0C549F-BE94-4E69-AD21-7472364DCDEE""}, {""vulnerable"": true, ""criteria"": ""cpe:2.3:a:atlassian:confluence_data_center:*:*:*:*:*:*:*:*"", ""versionStartIncluding"": ""8.2.0"", ""versionEndIncluding"": ""8.2.3"", ""matchCriteriaId"": ""0850948D-AE6D-4DCA-9BA0-9980E6BFC202""}, {""vulnerable"": true, ""criteria"": ""cpe:2.3:a:atlassian:confluence_data_center:*:*:*:*:*:*:*:*"", ""versionStartIncluding"": ""8.3.0"", ""versionEndIncluding"": ""8.3.4"", ""matchCriteriaId"": ""63D5B3B0-7F7E-49B6-8C2D-FF4D824A9315""}, {""vulnerable"": true, ""criteria"": ""cpe:2.3:a:atlassian:confluence_data_center:*:*:*:*:*:*:*:*"", ""versionStartIncluding"": ""8.4.0"", ""versionEndIncluding"": ""8.4.5"", ""matchCriteriaId"": ""57BDBED4-B502-444B-8C8C-EDC8CD0717F1""}, {""vulnerable"": true, ""criteria"": ""cpe:2.3:a:atlassian:confluence_data_center:*:*:*:*:lts:*:*:*"", ""versionStartIncluding"": ""8.5.0"", ""versionEndExcluding"": ""8.5.9"", ""matchCriteriaId"": ""3DA35EFC-343E-4672-B25F-3BF347D1569A""}, {""vulnerable"": true, ""criteria"": ""cpe:2.3:a:atlassian:confluence_data_center:*:*:*:*:*:*:*:*"", ""versionStartIncluding"": ""8.6.0"", ""versionEndIncluding"": ""8.6.2"", ""matchCriteriaId"": ""A28B7617-2765-4C27-AC74-8C583ABF1977""}, {""vulnerable"": true, ""criteria"": ""cpe:2.3:a:atlassian:confluence_data_center:8.7.1:*:*:*:*:*:*:*"", ""matchCriteriaId"": ""D0A3DA1F-C35D-464A-8E01-B2D8F05F85A0""}, {""vulnerable"": true, ""criteria"": ""cpe:2.3:a:atlassian:confluence_data_center:8.7.2:*:*:*:*:*:*:*"", ""matchCriteriaId"": ""1147BC2D-633D-40BB-8303-53D5FE8CB0FD""}, {""vulnerable"": true, ""criteria"": ""cpe:2.3:a:atlassian:confluence_data_center:8.8.0:*:*:*:*:*:*:*"", ""matchCriteriaId"": ""3F13F5EE-7BAE-4F46-ACDD-65155EF457F8""}, {""vulnerable"": true, ""criteria"": ""cpe:2.3:a:atlassian:confluence_data_center:8.8.1:*:*:*:*:*:*:*"", ""matchCriteriaId"": ""3AFB1065-37A0-49ED-BA0A-F2F01797F45A""}, {""vulnerable"": true, ""criteria"": ""cpe:2.3:a:atlassian:confluence_data_center:8.9.0:*:*:*:*:*:*:*"", ""matchCriteriaId"": ""A9CDEDBB-0657-4391-BF76-44E2B8011004""}]}]}, {""nodes"": [{""operator"": ""OR"", ""negate"": false, ""cpeMatch"": [{""vulnerable"": true, ""criteria"": ""cpe:2.3:a:atlassian:confluence_server:*:*:*:*:lts:*:*:*"", ""versionStartIncluding"": ""7.19.0"", ""versionEndExcluding"": ""7.19.22"", ""matchCriteriaId"": ""3119D0A7-6270-4F16-AA5E-D6B36310BB34""}, {""vulnerable"": true, ""criteria"": ""cpe:2.3:a:atlassian:confluence_server:*:*:*:*:*:*:*:*"", ""versionStartIncluding"": ""7.20.0"", ""versionEndIncluding"": ""7.20.3"", ""matchCriteriaId"": ""72EB6154-9A86-4A14-A341-D357D9FCB0DF""}, {""vulnerable"": true, ""criteria"": ""cpe:2.3:a:atlassian:confluence_server:*:*:*:*:*:*:*:*"", ""versionStartIncluding"": ""8.0.0"", ""versionEndIncluding"": ""8.0.4"", ""matchCriteriaId"": ""ACE3F2DE-01CD-4CBC-B8F5-86ACCA6DC62A""}, {""vulnerable"": true, ""criteria"": ""cpe:2.3:a:atlassian:confluence_server:*:*:*:*:*:*:*:*"", ""versionStartIncluding"": ""8.1.0"", ""versionEndIncluding"": ""8.1.4"", ""matchCriteriaId"": ""8201C848-0F3F-42B3-9430-A628CFC96B1B""}, {""vulnerable"": true, ""criteria"": ""cpe:2.3:a:atlassian:confluence_server:*:*:*:*:*:*:*:*"", ""versionStartIncluding"": ""8.2.0"", ""versionEndIncluding"": ""8.2.3"", ""matchCriteriaId"": ""4451E75A-00F4-4AC2-BE18-CCB1471B88BF""}, {""vulnerable"": true, ""criteria"": ""cpe:2.3:a:atlassian:confluence_server:*:*:*:*:*:*:*:*"", ""versionStartIncluding"": ""8.3.0"", ""versionEndIncluding"": ""8.3.4"", ""matchCriteriaId"": ""D5FF2B9F-070E-458F-BD17-20A4ECBEAD72""}, {""vulnerable"": true, ""criteria"": ""cpe:2.3:a:atlassian:confluence_server:*:*:*:*:*:*:*:*"", ""versionStartIncluding"": ""8.4.0"", ""versionEndIncluding"": ""8.4.5"", ""matchCriteriaId"": ""71CE6EAD-724D-49C4-BE5A-C45884C1F237""}, {""vulnerable"": true, ""criteria"": ""cpe:2.3:a:atlassian:confluence_server:*:*:*:*:lts:*:*:*"", ""versionStartIncluding"": ""8.5.0"", ""versionEndExcluding"": ""8.5.9"", ""matchCriteriaId"": ""E64FAC9F-2E03-496D-B1FA-01DE40473675""}, {""vulnerable"": true, ""criteria"": ""cpe:2.3:a:atlassian:confluence_server:*:*:*:*:*:*:*:*"", ""versionStartIncluding"": ""8.6.0"", ""versionEndIncluding"": ""8.6.2"", ""matchCriteriaId"": ""BA046009-AC63-4DF2-90E0-38873BD4614E""}, {""vulnerable"": true, ""criteria"": ""cpe:2.3:a:atlassian:confluence_server:8.7.1:*:*:*:*:*:*:*"", ""matchCriteriaId"": ""ABB0C806-A61F-4238-BE92-25FD9B771EFA""}, {""vulnerable"": true, ""criteria"": ""cpe:2.3:a:atlassian:confluence_server:8.7.2:*:*:*:*:*:*:*"", ""matchCriteriaId"": ""C1245106-DD17-410F-963D-6877C19ED65D""}, {""vulnerable"": true, ""criteria"": ""cpe:2.3:a:atlassian:confluence_server:8.8.0:*:*:*:*:*:*:*"", ""matchCriteriaId"": ""F4F9DEA9-BBB4-4205-9557-CAD0184DA3F4""}, {""vulnerable"": true, ""criteria"": ""cpe:2.3:a:atlassian:confluence_server:8.8.1:*:*:*:*:*:*:*"", ""matchCriteriaId"": ""7228BE60-B856-4C52-B7A5-014D1768CD33""}, {""vulnerable"": true, ""criteria"": ""cpe:2.3:a:atlassian:confluence_server:8.9.0:*:*:*:*:*:*:*"", ""matchCriteriaId"": ""F3381AD0-F839-4AEC-9D90-EB78F271BD4C""}]}]}]","[{""url"": ""https://confluence.atlassian.com/pages/viewpage.action?pageId=1387867145"", ""source"": ""security@atlassian.com"", ""tags"": [""Release Notes"", ""Vendor Advisory""]}, {""url"": ""https://jira.atlassian.com/browse/CONFSERVER-95832"", ""source"": ""security@atlassian.com"", ""tags"": [""Issue Tracking""]}]",False
"506313","CVE-2024-3518","security@wordfence.com","2024-05-22 01:15:08.437+01","2024-05-22 13:46:53.887+01","Awaiting Analysis","The Media Library Assistant plugin for WordPress is vulnerable to SQL Injection via the plugin's shortcode(s) in all versions up to, and including, 3.15 due to insufficient escaping on the user supplied parameter and lack of sufficient preparation on the existing SQL query. This makes it possible for authenticated attackers, with contributor access or higher, to append additional SQL queries into already existing queries that can be used to extract sensitive information from the database.","8.80","CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H","0.00","","[]","[]","[{""url"": ""https://plugins.trac.wordpress.org/browser/media-library-assistant/trunk/includes/class-mla-shortcode-custom-list.php#L1971"", ""source"": ""security@wordfence.com""}, {""url"": ""https://plugins.trac.wordpress.org/changeset?sfp_email=&sfph_mail=&reponame=&new=3069819%40media-library-assistant%2Ftrunk&old=3060779%40media-library-assistant%2Ftrunk&sfp_email=&sfph_mail=#file3"", ""source"": ""security@wordfence.com""}, {""url"": ""https://www.wordfence.com/threat-intel/vulnerabilities/id/a7af1a03-8382-4593-a41f-8cdb1bb9e53b?source=cve"", ""source"": ""security@wordfence.com""}]",True
"506314","CVE-2024-3519","security@wordfence.com","2024-05-22 01:15:08.667+01","2024-05-22 13:46:53.887+01","Awaiting Analysis","The Media Library Assistant plugin for WordPress is vulnerable to Reflected Cross-Site Scripting via the lang parameter in all versions up to, and including, 3.15 due to insufficient input sanitization and output escaping. This makes it possible for unauthenticated attackers to inject arbitrary web scripts in pages that execute if they can successfully trick a user into performing an action such as clicking on a link.","6.10","CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N","0.00","","[]","[]","[{""url"": ""https://plugins.trac.wordpress.org/changeset?sfp_email=&sfph_mail=&reponame=&new=3069819%40media-library-assistant%2Ftrunk&old=3060779%40media-library-assistant%2Ftrunk&sfp_email=&sfph_mail=#file3"", ""source"": ""security@wordfence.com""}, {""url"": ""https://www.wordfence.com/threat-intel/vulnerabilities/id/7e1cdaf3-76fe-4b73-b30b-4554f0d34d11?source=cve"", ""source"": ""security@wordfence.com""}]",True
"506315","CVE-2024-5190","security@wordfence.com","2024-05-22 04:15:08.273+01","2024-05-22 04:15:08.273+01","Rejected","Rejected reason: ** REJECT ** DO NOT USE THIS CANDIDATE NUMBER. Reason: This candidate was issued in error. Notes: All references and descriptions in this candidate have been removed to prevent accidental usage.","0.00","","0.00","","[]","[]","[]",True
"506316","CVE-2024-0451","security@wordfence.com","2024-05-22 05:15:09.13+01","2024-05-22 13:46:53.887+01","Awaiting Analysis","The AI ChatBot plugin for WordPress is vulnerable to unauthorized access of data due to a missing capability check on the openai_file_list_callback function in all versions up to, and including, 5.3.4. This makes it possible for authenticated attackers, with subscriber-level access and above, to list files existing in a linked OpenAI account.","5.00","CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:L/I:N/A:N","0.00","","[]","[]","[{""url"": ""https://plugins.trac.wordpress.org/browser/chatbot/trunk/includes/openai/qcld-bot-openai.php#L175"", ""source"": ""security@wordfence.com""}, {""url"": ""https://plugins.trac.wordpress.org/changeset/3089461/chatbot/trunk/includes/openai/qcld-bot-openai.php"", ""source"": ""security@wordfence.com""}, {""url"": ""https://www.wordfence.com/threat-intel/vulnerabilities/id/1c0572a5-6cc9-43ab-a4a3-c8d3b93c8fcf?source=cve"", ""source"": ""security@wordfence.com""}]",True
"506317","CVE-2024-0452","security@wordfence.com","2024-05-22 05:15:09.51+01","2024-05-22 13:46:53.887+01","Awaiting Analysis","The AI ChatBot plugin for WordPress is vulnerable to unauthorized modification of data due to a missing capability check on the openai_file_upload_callback function in all versions up to, and including, 5.3.4. This makes it possible for authenticated attackers, with subscriber-level access and above, to upload files to a linked OpenAI account.","5.00","CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:N/I:L/A:N","0.00","","[]","[]","[{""url"": ""https://plugins.trac.wordpress.org/browser/chatbot/trunk/includes/openai/qcld-bot-openai.php#L208"", ""source"": ""security@wordfence.com""}, {""url"": ""https://plugins.trac.wordpress.org/changeset/3089461/chatbot/trunk/includes/openai/qcld-bot-openai.php"", ""source"": ""security@wordfence.com""}, {""url"": ""https://www.wordfence.com/threat-intel/vulnerabilities/id/34b6475c-b5dd-42a1-98d1-9b5ae9ff4ad5?source=cve"", ""source"": ""security@wordfence.com""}]",True
"506318","CVE-2024-0453","security@wordfence.com","2024-05-22 05:15:09.757+01","2024-05-22 13:46:53.887+01","Awaiting Analysis","The AI ChatBot plugin for WordPress is vulnerable to unauthorized modification of data due to a missing capability check on the openai_file_delete_callback function in all versions up to, and including, 5.3.4. This makes it possible for authenticated attackers, with subscriber-level access and above, to delete files from a linked OpenAI account.","5.00","CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:N/I:L/A:N","0.00","","[]","[]","[{""url"": ""https://plugins.trac.wordpress.org/browser/chatbot/trunk/includes/openai/qcld-bot-openai.php#L133"", ""source"": ""security@wordfence.com""}, {""url"": ""https://plugins.trac.wordpress.org/changeset/3089461/chatbot/trunk/includes/openai/qcld-bot-openai.php"", ""source"": ""security@wordfence.com""}, {""url"": ""https://www.wordfence.com/threat-intel/vulnerabilities/id/7e0ef4a5-42d7-4cea-b19f-51917e3ee55f?source=cve"", ""source"": ""security@wordfence.com""}]",True
"506319","CVE-2024-30419","vultures@jpcert.or.jp","2024-05-22 06:15:52.137+01","2024-05-22 13:46:53.887+01","Awaiting Analysis","Cross-site scripting vulnerability exists in a-blog cms Ver.3.1.x series versions prior to Ver.3.1.12, Ver.3.0.x series versions prior to Ver.3.0.32, Ver.2.11.x series versions prior to Ver.2.11.61, Ver.2.10.x series versions prior to Ver.2.10.53, and Ver.2.9 and earlier versions. If this vulnerability is exploited, a user with a contributor or higher privilege who can log in to the product may execute an arbitrary script on the web browser of the user who accessed the website using the product.","0.00","","0.00","","[]","[]","[{""url"": ""https://developer.a-blogcms.jp/blog/news/JVN-70977403.html"", ""source"": ""vultures@jpcert.or.jp""}, {""url"": ""https://jvn.jp/en/jp/JVN70977403/"", ""source"": ""vultures@jpcert.or.jp""}]",True
"506320","CVE-2024-30420","vultures@jpcert.or.jp","2024-05-22 06:15:52.983+01","2024-05-22 13:46:53.887+01","Awaiting Analysis","Server-side request forgery (SSRF) vulnerability exists in a-blog cms Ver.3.1.x series versions prior to Ver.3.1.12 and Ver.3.0.x series versions prior to Ver.3.0.32. If this vulnerability is exploited, a user with an administrator or higher privilege who can log in to the product may obtain arbitrary files on the server and information on the internal server that is not disclosed to the public.","0.00","","0.00","","[]","[]","[{""url"": ""https://developer.a-blogcms.jp/blog/news/JVN-70977403.html"", ""source"": ""vultures@jpcert.or.jp""}, {""url"": ""https://jvn.jp/en/jp/JVN70977403/"", ""source"": ""vultures@jpcert.or.jp""}]",True
"506321","CVE-2024-31394","vultures@jpcert.or.jp","2024-05-22 06:15:53.053+01","2024-05-22 13:46:53.887+01","Awaiting Analysis","Directory traversal vulnerability exists in a-blog cms Ver.3.1.x series versions prior to Ver.3.1.12, Ver.3.0.x series versions prior to Ver.3.0.32, Ver.2.11.x series versions prior to Ver.2.11.61, Ver.2.10.x series versions prior to Ver.2.10.53, and Ver.2.9 and earlier versions. If this vulnerability is exploited, a user with an editor or higher privilege who can log in to the product may obtain arbitrary files on the server.","0.00","","0.00","","[]","[]","[{""url"": ""https://developer.a-blogcms.jp/blog/news/JVN-70977403.html"", ""source"": ""vultures@jpcert.or.jp""}, {""url"": ""https://jvn.jp/en/jp/JVN70977403/"", ""source"": ""vultures@jpcert.or.jp""}]",True
