"id","cve_id","source_identifier","published","last_modified","vuln_status","description","cvss_score_v3","cvss_vector_v3","cvss_score_v2","cvss_vector_v2","weaknesses","configurations","references","analyzed"
"510081","CVE-2024-3249","security@wordfence.com","2024-06-25 08:15:45.323+01","2024-06-25 08:15:45.323+01","Received","The Zita Elementor Site Library plugin for WordPress is vulnerable to unauthorized modification of data due to a missing capability check on the import_xml_data, xml_data_import, import_option_data, import_widgets, and import_customizer_settings functions in all versions up to, and including, 1.6.2. This makes it possible for authenticated attackers, with subscriber-level access and above, to create pages, update certain options, including WooCommerce page titles and Elementor settings, import widgets, and update the plugin's customizer settings and the WordPress custom CSS. NOTE: This vulnerability was partially fixed in version 1.6.2.","4.30","CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:L/A:N","0.00","","[]","[]","[{""url"": ""https://plugins.trac.wordpress.org/changeset/3100431/zita-site-library"", ""source"": ""security@wordfence.com""}, {""url"": ""https://plugins.trac.wordpress.org/changeset/3105478/zita-site-library"", ""source"": ""security@wordfence.com""}, {""url"": ""https://www.wordfence.com/threat-intel/vulnerabilities/id/62bc3794-a2c2-4c1a-b1c9-2be6e2526635?source=cve"", ""source"": ""security@wordfence.com""}]",False
"510080","CVE-2024-5431","security@wordfence.com","2024-06-25 07:15:11.8+01","2024-06-25 07:15:11.8+01","Received","The WPCafe – Online Food Ordering, Restaurant Menu, Delivery, and Reservations for WooCommerce plugin for WordPress is vulnerable to Local File Inclusion in all versions up to, and including, 2.2.25 via the reservation_extra_field shortcode parameter. This makes it possible for authenticated attackers, with Contributor-level access and above, to include remote files on the server, potentially resulting in code execution","8.80","CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H","0.00","","[]","[]","[{""url"": ""https://plugins.trac.wordpress.org/browser/wp-cafe/tags/2.2.25/core/shortcodes/views/reservation/reservation-form-template.php#L178"", ""source"": ""security@wordfence.com""}, {""url"": ""https://www.wordfence.com/threat-intel/vulnerabilities/id/5c5e7ed1-7eb8-4ce7-9dd6-0f7937b6f671?source=cve"", ""source"": ""security@wordfence.com""}]",False
"510079","CVE-2024-4759","contact@wpscan.com","2024-06-25 07:15:11.727+01","2024-06-25 07:15:11.727+01","Received","The Mime Types Extended WordPress plugin through 0.11 does not sanitise uploaded SVG files, which could allow users with a role as low as Author to upload a malicious SVG containing XSS payloads.","0.00","","0.00","","[]","[]","[{""url"": ""https://wpscan.com/vulnerability/1c7547fa-539a-4890-a94d-c57b3d025507/"", ""source"": ""contact@wpscan.com""}]",False
"510078","CVE-2024-4757","contact@wpscan.com","2024-06-25 07:15:11.607+01","2024-06-25 07:15:11.607+01","Received","The Logo Manager For Enamad WordPress plugin through 0.7.0 does not have CSRF check in some places, and is missing sanitisation as well as escaping, which could allow attackers to make logged in admin add Stored XSS payloads via a CSRF attack","0.00","","0.00","","[]","[]","[{""url"": ""https://wpscan.com/vulnerability/b54b55e0-b184-4c90-ba94-feda0997bf2a/"", ""source"": ""contact@wpscan.com""}]",False
"510077","CVE-2024-6297","security@wordfence.com","2024-06-25 05:15:17.4+01","2024-06-25 05:15:17.4+01","Received","Several plugins for WordPress hosted on WordPress.org have been compromised and injected with malicious PHP scripts. A malicious threat actor compromised the source code of various plugins and injected code that exfiltrates database credentials and is used to create new, malicious, administrator users and send that data back to a server. Currently, not all plugins have been patched and we strongly recommend uninstalling the plugins for the time being and running a complete malware scan.","10.00","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H","0.00","","[]","[]","[{""url"": ""https://plugins.trac.wordpress.org/browser/blaze-widget/trunk/blaze_widget.php"", ""source"": ""security@wordfence.com""}, {""url"": ""https://plugins.trac.wordpress.org/browser/contact-form-7-multi-step-addon/trunk/trx-contact-form-7-multi-step-addon.php"", ""source"": ""security@wordfence.com""}, {""url"": ""https://plugins.trac.wordpress.org/browser/simply-show-hooks/trunk/index.php"", ""source"": ""security@wordfence.com""}, {""url"": ""https://plugins.trac.wordpress.org/browser/social-warfare/tags/4.4.6.4/trunk/social-warfare.php#L54"", ""source"": ""security@wordfence.com""}, {""url"": ""https://plugins.trac.wordpress.org/browser/social-warfare/tags/4.4.6.4/trunk/social-warfare.php#L583"", ""source"": ""security@wordfence.com""}, {""url"": ""https://plugins.trac.wordpress.org/browser/wrapper-link-elementor/trunk/wrapper.php?rev=3106508"", ""source"": ""security@wordfence.com""}, {""url"": ""https://plugins.trac.wordpress.org/changeset/3105893/"", ""source"": ""security@wordfence.com""}, {""url"": ""https://plugins.trac.wordpress.org/changeset?sfp_email=&sfph_mail=&reponame=&old=3106042%40social-warfare&new=3106042%40social-warfare&sfp_email=&sfph_mail="", ""source"": ""security@wordfence.com""}, {""url"": ""https://wordpress.org/support/topic/a-security-message-from-the-plugin-review-team/"", ""source"": ""security@wordfence.com""}, {""url"": ""https://www.wordfence.com/threat-intel/vulnerabilities/id/56d24bc8-4a1a-4e60-aec5-960703a6058a?source=cve"", ""source"": ""security@wordfence.com""}]",False
"510076","CVE-2024-4197","securityalerts@avaya.com","2024-06-25 05:15:17.007+01","2024-06-25 05:15:17.007+01","Received","An unrestricted file upload vulnerability in Avaya IP Office was discovered that could allow remote command or code execution via the One-X component. Affected versions include all versions prior to 11.1.3.1.","9.90","CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H","0.00","","[{""source"": ""securityalerts@avaya.com"", ""type"": ""Secondary"", ""description"": [{""lang"": ""en"", ""value"": ""CWE-434""}]}]","[]","[{""url"": ""https://download.avaya.com/css/public/documents/101090768"", ""source"": ""securityalerts@avaya.com""}]",False
"510075","CVE-2024-4196","securityalerts@avaya.com","2024-06-25 05:15:16.58+01","2024-06-25 05:15:16.58+01","Received","An improper input validation vulnerability  was discovered in Avaya IP Office that could allow remote command or code execution via a specially crafted web request to the Web Control component. Affected versions include all versions prior to 11.1.3.1.","10.00","CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H","0.00","","[{""source"": ""securityalerts@avaya.com"", ""type"": ""Secondary"", ""description"": [{""lang"": ""en"", ""value"": ""CWE-20""}]}]","[]","[{""url"": ""https://download.avaya.com/css/public/documents/101090768"", ""source"": ""securityalerts@avaya.com""}]",False
"510074","CVE-2024-37007","psirt@autodesk.com","2024-06-25 05:15:16.17+01","2024-06-25 05:15:16.17+01","Received","A maliciously crafted X_B and X_T file, when parsed in pskernel.DLL through Autodesk applications, can cause a use-after-free vulnerability. This vulnerability, along with other vulnerabilities, could lead to code execution in the current process.","0.00","","0.00","","[{""source"": ""psirt@autodesk.com"", ""type"": ""Secondary"", ""description"": [{""lang"": ""en"", ""value"": ""CWE-416""}]}]","[]","[{""url"": ""https://www.autodesk.com/trust/security-advisories/adsk-sa-2024-0010"", ""source"": ""psirt@autodesk.com""}]",False
"510073","CVE-2024-37006","psirt@autodesk.com","2024-06-25 05:15:16.053+01","2024-06-25 05:15:16.053+01","Received","A maliciously crafted CATPRODUCT file, when parsed in CC5Dll.dll through Autodesk applications, can lead to a memory corruption vulnerability by write access violation. This vulnerability, in conjunction with other vulnerabilities, can lead to code execution in the context of the current process.","0.00","","0.00","","[{""source"": ""psirt@autodesk.com"", ""type"": ""Secondary"", ""description"": [{""lang"": ""en"", ""value"": ""CWE-119""}]}]","[]","[{""url"": ""https://www.autodesk.com/trust/security-advisories/adsk-sa-2024-0009"", ""source"": ""psirt@autodesk.com""}]",False
"510072","CVE-2024-37005","psirt@autodesk.com","2024-06-25 05:15:15.89+01","2024-06-25 05:15:15.89+01","Received","A maliciously crafted X_B and X_T file, when parsed in pskernel.DLL through Autodesk applications, can force an Out-of-Bound Read. A malicious actor can leverage this vulnerability to cause a crash, read sensitive data, or execute arbitrary code in the context of the current process.","0.00","","0.00","","[{""source"": ""psirt@autodesk.com"", ""type"": ""Secondary"", ""description"": [{""lang"": ""en"", ""value"": ""CWE-125""}]}]","[]","[{""url"": ""https://www.autodesk.com/trust/security-advisories/adsk-sa-2024-0009"", ""source"": ""psirt@autodesk.com""}]",False
"510071","CVE-2024-37004","psirt@autodesk.com","2024-06-25 05:15:15.567+01","2024-06-25 05:15:15.567+01","Received","A maliciously crafted SLDPRT file, when parsed in ASMKERN229A.dll through Autodesk applications, can cause a use-after-free vulnerability. This vulnerability, along with other vulnerabilities, could lead to code execution in the current process.","0.00","","0.00","","[{""source"": ""psirt@autodesk.com"", ""type"": ""Secondary"", ""description"": [{""lang"": ""en"", ""value"": ""CWE-416""}]}]","[]","[{""url"": ""https://www.autodesk.com/trust/security-advisories/adsk-sa-2024-0009"", ""source"": ""psirt@autodesk.com""}]",False
"510070","CVE-2024-37003","psirt@autodesk.com","2024-06-25 05:15:15.37+01","2024-06-25 05:15:15.37+01","Received","A maliciously crafted DWG and SLDPRT file, when parsed in opennurbs.dll and ODXSW_DLL.dll through Autodesk applications, can be used to cause a Stack-based Overflow. A malicious actor can leverage this vulnerability to cause a crash, read sensitive data, or execute arbitrary code in the context of the current process.","0.00","","0.00","","[{""source"": ""psirt@autodesk.com"", ""type"": ""Secondary"", ""description"": [{""lang"": ""en"", ""value"": ""CWE-121""}]}]","[]","[{""url"": ""https://www.autodesk.com/trust/security-advisories/adsk-sa-2024-0009"", ""source"": ""psirt@autodesk.com""}]",False
